DT_35007_N009	36505	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C3_NM,ITM_NM_ENG,PRD_SE,LST_CHN_DE,C1,C2,C3,C3_OBJ_NM_ENG,C1_NM,TBL_NM,C2_OBJ_NM_ENG,C2_NM,ITM_ID,C2_OBJ_NM,UNIT_NM_ENG,C1_OBJ_NM_ENG,C3_NM_ENG,C2_NM_ENG,C1_NM_ENG,C1_OBJ_NM,C3_OBJ_NM	DT_35007_N009,2024,대상인원,4121184,명,350,계,Number of Eligible Individuals,A,2026-01-06,15350AC400A1,001,001_1,Number of People Qualifying for Examination by Type of Cancer,서울,시군구별 성별 암검진 대상 및 수검인원 현황,By Sex,합계,001,성별,In person,By Si/Gun/Gu,Total,Total,Seoul,시군구별,암검진별
DT_35007_N010	1106	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C3_NM,C2_NM,PRD_SE,LST_CHN_DE,ITM_ID,C1,C2,C2_OBJ_NM,C3,UNIT_NM_ENG,C1_NM,TBL_NM,C1_OBJ_NM,C3_OBJ_NM	DT_35007_N010,2024,수검인원,-,명,350,폐암,여자,A,2026-01-07,002,015,003,성별,007,In person,25 ~ 29세,연령별 성별 암검진 대상 및 수검인원 현황,연령별,암검진별
DT_35007_N011	22732	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C3_NM,ITM_NM_ENG,PRD_SE,LST_CHN_DE,C1,C2,C3,C3_OBJ_NM_ENG,C1_NM,TBL_NM,C2_OBJ_NM_ENG,C2_NM,ITM_ID,C2_OBJ_NM,UNIT_NM_ENG,C1_OBJ_NM_ENG,C3_NM_ENG,C2_NM_ENG,C1_NM_ENG,C1_OBJ_NM,C3_OBJ_NM	DT_35007_N011,2024,시군구별 성별 위암검진 결과 판정 현황,1440744,명,350,계,Statistics on Stomach Cancer Screening Diagnoses by District and Gender,A,2026-01-07,15350AC400A1,001,001,By Cancer Screening Result,서울,시군구별 성별 위암검진 결과 판정 현황,By Sex,합계,001,성별,In person,By Si/Gun/Gu,Total,Total,Seoul,시군구별,위암검진결과별
DT_35007_N012	552	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C3_NM,C2_NM,PRD_SE,LST_CHN_DE,ITM_ID,C1,C2,C2_OBJ_NM,C3,UNIT_NM_ENG,C1_NM,TBL_NM,C1_OBJ_NM,C3_OBJ_NM	DT_35007_N012,2024,연령별 성별 위암검진 결과 판정 현황,172,명,350,기존 암환자,여자,A,2026-01-07,001,013,003,성별,007,In person,85세 이상,연령별 성별 위암검진 결과 판정 현황,연령별,위암검진결과별
DT_35007_N013	17518	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C3_NM,C2_NM,PRD_SE,LST_CHN_DE,ITM_ID,C1,C2,C2_OBJ_NM,C3,UNIT_NM_ENG,C1_NM,TBL_NM,C1_OBJ_NM,C3_OBJ_NM	DT_35007_N013,2024,시군구별 성별 대장암 검진 결과 판정현황,1085278,명,350,계,합계,A,2026-01-08,001,15350AC400A1,001,성별,001,In person,서울,시군구별 성별 대장암 검진 결과 판정 현황,시군구별,대장암검진결과별
DT_35007_N014	552	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C3_NM,C2_NM,PRD_SE,LST_CHN_DE,ITM_ID,C1,C2,C2_OBJ_NM,C3,UNIT_NM_ENG,C1_NM,TBL_NM,C1_OBJ_NM,C3_OBJ_NM	DT_35007_N014,2024,연령별 성별 대장암 검진 결과 판정 현황,90,명,350,기존 암환자,여자,A,2026-01-08,001,013,003,성별,00306,In person,85세 이상,연령별 성별 대장암 검진 결과 판정 현황,연령별,대장암검진결과별
DT_35007_N015	7416	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C3_NM,C2_NM,PRD_SE,LST_CHN_DE,ITM_ID,C1,C2,C2_OBJ_NM,C3,UNIT_NM_ENG,C1_NM,TBL_NM,C1_OBJ_NM,C3_OBJ_NM	DT_35007_N015,2015,시군구별 성별 간암 검진 결과 판정 현황,90459,명,350,계,합계,A,2016-12-05,001,15350AC400A1,001,성별,001,In person,서울,시군구별 성별 간암 검진 결과 판정 현황,시군구별,간암검진결과별
DT_35007_N016	284	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C3_NM,C2_NM,PRD_SE,LST_CHN_DE,ITM_ID,C1,C2,C2_OBJ_NM,C3,UNIT_NM_ENG,C1_NM,TBL_NM,C1_OBJ_NM,C3_OBJ_NM	DT_35007_N016,2015,연령별 성별 간암 검진 결과 판정 현황 ,2,명,350,기존 암환자,여자,A,2016-12-05,001,013,003,성별,006,In person,85세이상,연령별 성별 간암 검진 결과 판정 현황,연령별,간암검진결과별
DT_35007_N017	3812	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C2_NM,PRD_SE,LST_CHN_DE,ITM_ID,C1,C2,C2_OBJ_NM,UNIT_NM_ENG,C1_NM,TBL_NM,C1_OBJ_NM	DT_35007_N017,2024,시군구별 유방암 검진 결과 판정 현황,26782,명,350,기존 암환자,A,2026-01-08,001,15350AC400Z1,006,유방암검진결과별,In person,계,시군구별 유방암 검진 결과 판정 현황,시군구별
DT_35007_N018	145	TBL_ID,PRD_DE,ITM_NM,DT,UNIT_NM,ORG_ID,C2_NM,PRD_SE,LST_CHN_DE,ITM_ID,C1,C2,C2_OBJ_NM,UNIT_NM_ENG,C1_NM,TBL_NM,C1_OBJ_NM	DT_35007_N018,2024,연령별 유방암 검진 결과 판정 현황,150,명,350,기존 암환자,A,2026-01-08,001,013,006,유방암검진결과별,In person,85세 이상,연령별 유방암 검진 결과 판정 현황,연령별
